item_id,item_name,item_amount,currency_id,currency_amount
19700,"Mithril Ore",15,1,-870
19748,"Silk Scrap",11,,
84731,"Piece of Unidentified Gear",-33,,
19722,"Elder Wood Log",14,,
45175,"Fine Essence of Luck",40,,
19729,"Thick Leather Section",5,,
45176,"Masterwork Essence of Luck",7,,
19701,"Orichalcum Ore",1,,
89140,"Lucent Mote",27,,
26522,"Cleric's Iron Sword of Peril",1,,
2363,"Cleric's Banded Pauldrons of the Traveler",1,,
28565,"Cleric's Soft Wood Longbow of Smoldering",1,,
26521,"Cleric's Iron Sword of Accuracy",1,,
